origin,pre,file_name
1,0.00766671104150417,origin1
1,0.0119045747606247,origin1
1,0.00225135438657334,origin1
1,0.36874665897961995,origin1
1,0.915812205686467,origin1
1,0.0028834817734021898,origin1
1,0.000238415698795415,origin1
1,0.849415958303884,origin1
1,0.642938692710852,origin1
1,0.756050510828476,origin1
1,0.0118634338020876,origin1
1,0.00824129455000965,origin1
1,0.9390523791717371,origin1
1,0.926630613704322,origin1
1,0.9362182298642671,origin1
1,0.923185027761487,origin1
1,0.935653865629851,origin1
1,0.200063783358283,origin1
1,0.18614283871876103,origin1
1,0.0191119728417333,origin1
1,0.6191984664520539,origin1
1,0.164593054497176,origin1
1,0.9135904420524499,origin1
1,0.00123316124996865,origin1
1,0.20803048773896102,origin1
1,0.0037029483970792204,origin1
1,0.0118953515427981,origin1
1,0.00624648362812123,origin1
1,0.0100180354839841,origin1
1,0.9282160151262622,origin1
1,0.7471798753450759,origin1
1,0.0186836648014383,origin1
1,0.0094039802486152,origin1
1,0.0106634233119344,origin1
1,0.0157966662688453,origin1
1,0.00313391812743421,origin1
1,0.0110187388468313,origin1
1,0.00643153272743699,origin1
1,0.00217926728111086,origin1
1,0.7841564973500541,origin1
1,0.22567326113000302,origin1
1,0.454225694440796,origin1
1,0.257922528062923,origin1
1,0.5919027019126961,origin1
1,0.26599150470564104,origin1
1,0.000847177334806784,origin1
1,0.0963313984621453,origin1
1,0.369699367447587,origin1
1,0.0013173134115840599,origin1
1,0.0133359818794095,origin1
1,0.29135122888219894,origin1
1,0.010640882074774,origin1
1,0.0053247144587171705,origin1
1,0.170723303225524,origin1
1,9.68037179370558e-05,origin1
1,0.195156352106419,origin1
1,0.7429165173046701,origin1
1,0.7022366908990151,origin1
1,0.00207092172816518,origin1
1,0.0417066538292726,origin1
1,0.767032173433899,origin1
1,0.00237081487064564,origin1
1,0.829100436264996,origin1
1,0.0020955970588275898,origin1
1,0.511627409137229,origin1
1,0.754007576802884,origin1
1,0.47674047256933505,origin1
1,0.8612095304130791,origin1
1,0.871876139222843,origin1
1,0.891787052154224,origin1
1,0.866333866074063,origin1
1,0.49261762552054705,origin1
1,0.4081219163894,origin1
1,0.8615387506117951,origin1
1,0.7779600735262109,origin1
1,0.36087508038543,origin1
1,0.0027265772778082,origin1
1,0.200056445498031,origin1
1,0.784496292951899,origin1
1,0.959425942355087,origin1
1,0.910220079020506,origin1
1,0.916221341014971,origin1
1,0.9388736295958761,origin1
1,0.9274790570465301,origin1
1,0.900072044858363,origin1
1,0.51267143642359,origin1
1,0.5965528597071801,origin1
1,0.330233708063836,origin1
1,0.474503155331351,origin1
1,0.8974201631224449,origin1
1,0.8165055903111959,origin1
1,0.8036579573951921,origin1
1,0.952586480638384,origin1
1,0.4385724238827371,origin1
1,0.9487634368087969,origin1
1,0.777265217104823,origin1
1,0.497214551281029,origin1
1,0.9438839756463309,origin1
1,0.825068729956896,origin1
1,0.937980009363239,origin1
1,0.00135123289209462,origin1
1,0.29779324243933897,origin1
1,0.4492166638621621,origin1
1,0.0017058005615274599,origin1
1,0.322544805437419,origin1
1,0.212029834080966,origin1
1,0.15015179284753197,origin1
1,0.214992215230501,origin1
1,0.358224825082955,origin1
1,0.139926452908556,origin1
1,0.237613134576565,origin1
1,0.445831709461447,origin1
1,0.0014030063616434802,origin1
1,0.8316329374851509,origin1
1,0.00113760540972464,origin1
1,0.000101815547205535,origin1
1,0.715585409764013,origin1
1,0.00243860574484554,origin1
1,0.536359163724311,origin1
1,0.00496135305604011,origin1
1,0.9099746474205258,origin1
1,0.657420179670014,origin1
1,0.00929629990837859,origin1
1,0.8785851547788841,origin1
1,0.8920656868021271,origin1
1,0.8502887165841779,origin1
1,0.5628552174570199,origin1
